SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Scenic View,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,Danceability,SongName
1,SOMZWCG12A8C13C480,300848,Fear Itself,ARD7TVE1187B99BFB1,,California - LA,,Casual,Forest,218.93179,1,0.736,92.198,4,0.778,I Didn't Mean To,0,0,Earth Song
2,SOCIWDW12A8C13D406,300822,Dimensions,ARMJAGH1187FB546F3,35.14968,Memphis TN,-90.04892,The Box Tops,Trees,148.03546,6,0.169,121.274,4,0.384,Soul Deep,1969,0,Better World
3,SOXVLOJ12AB0189215,514953,Las Numero 1 De La Sonora Santanera,ARKRRTF1187B9984DA,,,,Sonora Santanera,Mountains,177.47546,8,0.643,100.07,1,0,Amor De Cabaret,0,0,What A Wonderful World
4,SONHOTT12A8C13493C,287650,Friend Or Foe,AR7G5I41187FB4CE6C,,London England,,Adam Ant,Waterfall,233.40363,0,0.751,119.293,4,0,Something Girls,1982,0,Doctor My Eyes
5,SOFSOCN12A8C143F5D,611336,Muertos Vivos,ARXR32B1187FB57099,,,,Gob,Rain,209.60608,2,0.092,129.738,4,0.562,Face the Ashes,2007,0,Make a Little Wave
6,SOYMRWW12A6D4FAB14,41838,Ordinary Day,ARKFYS91187B98E58F,,,,Jeff And Sheri Easter,Windy,267.7024,5,0.635,147.782,3,0.454,The Moon And I (Ordinary Day Album Version),0,0,Children Play With Earth
7,SOMJBYD12A6D4F8557,25824,Da Ghetto Psychic,ARD0S291187B9B7BF5,,Ohio,,Rated R,Stone,114.78159,1,0,111.787,1,0,Keepin It Real (Skit),0,0,Stop! Before It's Too Late And We've Destroyed It All
8,SOHKNRJ12A6701D1F8,8876,Gin & Phonic,AR10USD1187B99F3F1,,Burlington Ontario Canada,,Tweeterfriendly Music,Roads,189.57016,4,0,101.43,3,0.408,Drop of Rain,0,0,Carbon Copy
9,SOIAZJW12AB01853F1,358182,Pink World,AR8ZCNI1187B9A069B,,,,Planet P Project,Clouds,269.81832,4,0.717,86.643,4,0.487,Pink World,1984,0,The Wake
10,SOUDSGM12AC9618304,692313,Superinstrumental,ARNTLGG11E2835DDB9,,,,Clp,Beach,266.39628,7,0.053,114.041,4,0.878,Insatiable (Instrumental Version),0,0,Apple Tree
11,SOQHXMF12AB0182363,539081,I Need You,ARGSJW91187B9B1D6B,35.21962,North Carolina,-80.01955,JennyAnyKind,Snow,218.77506,5,0.354,146.765,1,0,Young Boy Blues,0,0,Tears of the trees
